종목,현재가,고가,저가,변동,변동 %,거래량,시간
KB금융,"51,500","52,000","51,100",-300,-0.58%,1.36M,15:57:00
KT,"32,750","33,150","32,650",+150,+0.46%,615.93K,15:59:29
KT&G,"81,600","81,600","81,100",+300,+0.37%,279.11K,15:58:36
LG,"94,400","95,300","93,500",+900,+0.96%,139.05K,15:55:42
LG디스플레이,"20,050","20,350","20,000",-100,-0.50%,1.65M,15:55:17
LG생활건강,"1,387,000","1,393,000","1,362,000",+13000,+0.95%,31.12K,15:56:26
LG유플러스,"14,700","14,850","14,600",0,0.00%,1.08M,15:55:37
LG전자,"146,500","151,000","143,000",+5000,+3.53%,1.85M,15:59:56
LG화학,"740,000","753,000","740,000",-8000,-1.07%,254.90K,15:59:39
S-oil,"96,400","98,500","96,100",-300,-0.31%,198.14K,15:49:58
SK 바이오팜,"113,500","115,500","113,500",-1000,-0.87%,236.97K,15:49:50
SKIET,"225,500","225,500","210,000",+15500,+7.38%,977.67K,15:50:02
SK그룹,"263,000","264,500","260,500",+2500,+0.96%,137.77K,15:59:33
SK바사,"299,500","308,500","295,000",+1500,+0.50%,489.67K,15:49:49
SK이노베이션,"250,000","251,000","244,000",+3000,+1.21%,385.59K,15:57:42
SK텔레콤,"307,000","309,500","302,500",+5500,+1.82%,232.79K,15:42:09
SK하이닉스,"105,000","105,500","103,000",+2000,+1.94%,1.97M,15:59:59
강원랜드,"28,050","28,250","27,650",+400,+1.45%,641.43K,15:53:12
고려아연,"508,000","516,000","501,000",+2000,+0.40%,37.91K,15:48:06
기아차,"82,500","86,100","81,800",-3500,-4.07%,3.95M,15:59:56
기업은행,"10,200","10,200","10,100",+100,+0.99%,749.47K,15:55:43
네이버 주식회사,"410,000","416,500","398,000",+11000,+2.76%,1.32M,15:59:54
넷마블,"122,500","123,500","120,500",0,0.00%,159.23K,15:58:21
롯데케미칼,"248,500","249,500","243,000",0,0.00%,95.65K,15:55:03
삼성SDI,"750,000","760,000","744,000",+1000,+0.13%,179.82K,15:59:58
삼성물산,"129,000","129,000","127,000",+1500,+1.18%,260.89K,15:59:56
삼성바이오로직스,"925,000","935,000","919,000",+12000,+1.31%,59.42K,15:56:56
삼성생명,"73,700","73,700","73,000",+500,+0.68%,157.72K,15:51:30
삼성에스디에스,"168,000","169,000","167,000",+1000,+0.60%,90.41K,15:57:14
삼성전기,"188,000","188,000","182,000",+7000,+3.87%,647.13K,15:58:53
삼성전자,"75,300","75,600","74,800",0,0.00%,10.04M,15:59:54
삼성화재해상보험,"228,000","229,500","224,500",+5000,+2.24%,75.15K,15:47:36
셀트리온,"267,500","271,000","265,500",-1500,-0.56%,387.02K,15:59:14
신한지주,"38,250","38,550","37,950",-500,-1.29%,1.11M,15:59:58
아모레퍼시픽,"194,500","196,000","191,500",+500,+0.26%,321.76K,15:59:05
엔씨소프트,"607,000","611,000","601,000",-4000,-0.65%,189.23K,15:59:56
우리금융지주,"10,950","10,950","10,800",+150,+1.39%,2.11M,15:59:15
카카오,"130,000","133,500","126,000",+1500,+1.17%,9.85M,15:59:45
코웨이,"77,600","78,000","77,000",+300,+0.39%,128.61K,15:53:42
포스코,"360,000","365,000","359,000",+500,+0.14%,308.55K,15:59:55
포스코케미칼,"154,000","155,500","151,500",0,0.00%,359.40K,15:58:59
하나금융지주,"43,500","44,000","43,100",-450,-1.02%,1.09M,15:59:09
하이브,"269,500","279,500","251,000",-8500,-3.06%,740.31K,15:49:57
한국전력,"23,350","23,450","23,100",+200,+0.86%,1.39M,15:59:56
한국조선해양,"114,000","114,500","108,500",+5500,+5.07%,335.80K,15:57:30
한국타이어,"44,950","45,200","44,500",+850,+1.93%,177.56K,15:46:51
한온시스템,"16,050","16,150","15,750",+200,+1.26%,673.17K,15:54:55
현대글로비스,"180,000","184,000","179,000",-2500,-1.37%,118.09K,15:40:00
현대모비스,"268,000","276,500","265,500",-9000,-3.25%,399.04K,15:59:13
현대차,"206,500","209,500","204,000",-2000,-0.96%,675.19K,15:58:44
